ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:53:05,server_7,20.46,94.18,172.76,110.26,19.9
20:53:05,server_8,40.9,45.45,21.28,20.29,7806.51
20:53:10,server_20,44.33,49.91,1404.54,1334.62,1598.09
20:53:10,server_19,98.89,84.45,1048.86,1433.03,56.52
20:53:10,server_18,41.02,58.52,1183.33,1412.87,1562.56
20:53:10,server_17,85.88,90.29,818.85,1156.3,56.64
20:53:10,server_16,92.26,96.36,868.12,738.63,94.52
20:53:10,server_14,50.79,53.71,19922.89,20931.87,180.78
20:53:10,server_13,42.49,21.26,199.97,163.43,7581.26
20:53:10,server_12,94.74,82.48,954.96,881.2,78.27
20:53:10,server_11,89.63,7.11,981.83,491.25,28.1
20:53:10,server_15,40.8,36.92,369.41,401.91,0.0
20:53:10,server_9,99.83,99.02,996.68,835.17,159.07
20:53:10,server_2,18.08,83.43,188.83,143.73,58.71
20:53:10,server_3,90.8,96.17,934.76,1320.56,132.84
20:53:10,server_4,67.03,68.5,4770.82,5034.31,1097.86
20:53:10,server_5,61.05,63.77,2626.58,2986.77,1198.82
20:53:10,server_1,74.11,51.53,7781.5,6895.25,140.32
20:53:10,server_6,48.83,57.78,494.01,280.17,53.22
20:53:10,server_7,83.94,8.46,820.46,528.31,107.1
20:53:10,server_8,20.22,35.99,211.66,159.96,0.0
20:53:10,server_10,58.52,71.62,520.19,333.19,110.02
20:53:15,server_12,0.21,83.63,14.56,17.47,54.9
20:53:15,server_19,25.32,39.24,237.95,351.43,1.62
20:53:15,server_18,95.95,27.96,940.49,515.93,0.0
20:53:15,server_17,13.15,84.12,190.24,227.85,0.0
20:53:15,server_16,40.72,42.03,2079.93,1843.59,913.75
20:53:15,server_15,60.53,58.3,685.27,936.68,4.62
20:53:15,server_14,60.46,51.56,3022.75,3596.63,1582.75
20:53:15,server_13,51.64,35.26,17991.83,15050.76,194.41
20:53:15,server_11,58.22,60.01,579.91,803.21,94.78
20:53:15,server_20,50.6,56.5,417.49,344.05,85.46
20:53:15,server_9,24.1,92.38,253.48,351.82,103.2
20:53:15,server_1,45.66,45.13,418.33,413.37,0.0
20:53:15,server_2,56.81,57.49,580.52,481.92,27.34
20:53:15,server_3,83.63,4.34,849.84,602.34,67.12
20:53:15,server_4,20.59,84.06,134.58,140.55,23.0
20:53:15,server_10,80.43,5.57,819.31,1211.67,3.91
20:53:15,server_6,61.99,53.45,584.46,573.52,7.65
20:53:15,server_7,57.13,53.39,580.38,786.43,107.3
20:53:15,server_8,64.94,66.25,1606.18,1614.02,820.84
20:53:15,server_5,52.41,44.43,506.49,254.72,112.11
20:53:20,server_11,52.7,53.19,12375.91,12534.12,27.29
20:53:20,server_19,62.5,77.2,742.43,719.5,18.84
20:53:20,server_18,8.0,87.69,66.03,35.25,0.0
20:53:20,server_17,39.2,53.6,437.01,501.9,0.0
20:53:20,server_16,96.79,20.13,966.35,596.63,110.27
20:53:20,server_15,35.9,51.63,410.0,587.17,77.41
20:53:20,server_14,15.4,83.8,153.25,96.1,88.35
20:53:20,server_13,30.3,49.52,424.08,510.81,0.0
20:53:20,server_12,45.21,51.47,4212.16,4139.82,681.58
20:53:20,server_20,47.76,31.78,441.2,265.11,50.72
20:53:20,server_10,53.73,67.92,3975.42,4368.52,1371.59
20:53:20,server_8,95.49,91.59,1035.51,1396.51,187.7
20:53:20,server_7,56.12,44.05,17650.2,17667.1,68.11
20:53:20,server_6,61.52,38.77,8824.77,9665.62,122.93
20:53:20,server_5,82.42,2.47,833.89,624.3,63.7
20:53:20,server_4,99.45,89.24,983.89,676.71,24.14
20:53:20,server_3,23.86,40.12,207.16,181.34,22.43
20:53:20,server_2,85.21,19.05,911.7,1042.75,83.44
20:53:20,server_1,98.33,12.54,1011.11,639.91,62.21
20:53:20,server_9,85.0,26.85,892.4,1014.92,168.39
20:53:25,server_13,6.84,87.48,108.54,89.14,33.24
20:53:25,server_14,67.44,65.72,662.61,607.69,0.0
20:53:25,server_16,56.39,67.34,543.9,728.69,28.2
20:53:25,server_12,9.04,98.99,116.58,68.94,102.97
20:53:25,server_18,34.14,24.09,99.22,71.94,6505.01
20:53:25,server_19,89.61,93.58,956.1,1147.67,20.22
20:53:25,server_20,71.04,51.81,11788.92,13661.3,160.18
20:53:25,server_17,97.41,95.93,991.17,1250.12,119.58
20:53:25,server_11,60.36,51.6,17641.65,20775.46,62.42
20:53:25,server_15,11.37,97.29,96.21,112.77,84.46
20:53:25,server_9,28.76,26.75,99.87,86.81,9104.65
20:53:25,server_1,9.32,81.53,103.5,75.28,100.29
20:53:25,server_2,58.19,62.87,564.19,754.32,12.44
20:53:25,server_3,23.48,24.26,123.11,70.59,6151.01
20:53:25,server_4,31.66,43.68,340.98,220.53,19.03
20:53:25,server_10,64.24,56.04,5971.79,7069.29,109.95
20:53:25,server_6,87.57,94.61,941.38,495.57,38.88
20:53:25,server_7,67.16,75.58,650.7,776.12,9.01
20:53:25,server_8,48.42,59.54,408.92,399.43,45.16
20:53:25,server_5,60.29,58.47,632.37,770.09,153.45
20:53:30,server_20,42.12,59.4,452.1,566.55,74.74
20:53:30,server_19,60.4,54.07,586.64,536.39,50.48
20:53:30,server_18,47.67,23.62,14.09,18.82,8832.92
20:53:30,server_17,63.98,44.64,4739.3,5667.22,1130.81
20:53:30,server_16,47.55,42.64,508.22,282.54,56.04
20:53:30,server_15,95.48,12.4,994.07,1249.81,43.19
20:53:30,server_14,34.78,40.74,376.07,421.45,29.84
20:53:30,server_12,72.1,38.63,6530.61,7321.3,166.22
20:53:30,server_11,41.77,69.04,1976.31,1798.46,1576.65
20:53:30,server_13,9.46,80.98,127.76,145.97,0.0
20:53:30,server_9,21.14,21.51,222.94,316.16,36.97
20:53:30,server_8,86.24,86.87,817.51,742.44,124.11
20:53:30,server_7,94.92,3.59,977.63,1010.49,0.0
20:53:30,server_6,56.02,64.46,682.55,845.27,48.24
20:53:30,server_5,30.35,37.17,359.32,322.25,0.0
20:53:30,server_4,26.35,52.07,290.79,378.97,118.52
20:53:30,server_3,29.52,38.87,370.47,554.07,108.38
20:53:30,server_2,25.84,41.13,116.66,170.15,8654.22
20:53:30,server_10,92.74,96.65,989.09,1347.18,54.74
20:53:30,server_1,69.2,54.53,3143.01,3209.15,769.88
20:53:35,server_13,59.09,49.17,18763.28,19224.86,186.03
20:53:35,server_14,37.0,49.26,477.9,578.27,0.0
20:53:35,server_15,34.83,50.24,389.35,501.88,0.0
20:53:35,server_16,38.45,61.64,415.89,364.61,13.64
20:53:35,server_20,63.54,49.73,15494.46,16976.48,96.5
20:53:35,server_18,43.47,47.07,416.96,602.01,0.0
20:53:35,server_19,21.17,44.59,166.61,168.88,7019.16
20:53:35,server_12,20.93,9.85,257.36,304.36,31.11
20:53:35,server_17,38.17,52.92,416.05,326.42,7.63
20:53:35,server_11,21.78,13.39,171.29,195.74,52.99
20:53:35,server_3,93.97,81.25,916.49,789.88,0.0
20:53:35,server_9,60.07,38.6,15305.27,14830.78,175.8
20:53:35,server_8,68.59,75.0,824.06,1097.31,89.57
20:53:35,server_7,34.36,40.1,351.77,229.11,56.97
20:53:35,server_6,69.34,70.74,655.94,360.57,132.85
20:53:35,server_5,93.14,9.05,936.33,1386.62,0.0
20:53:35,server_4,57.89,86.97,570.26,841.86,56.96
20:53:35,server_2,53.62,73.99,541.05,408.07,0.0
20:53:35,server_1,34.99,46.84,364.74,334.92,107.41
20:53:35,server_10,10.83,92.89,147.22,198.08,0.0
20:53:40,server_12,39.4,41.05,456.56,607.19,56.47
20:53:40,server_13,65.27,81.65,665.73,726.32,23.36
20:53:40,server_14,87.89,81.41,885.11,645.63,75.51
20:53:40,server_15,59.15,69.19,1693.82,1668.55,840.2
20:53:40,server_19,47.64,30.37,527.14,281.38,38.33
20:53:40,server_17,15.59,99.73,217.57,182.89,46.08
20:53:40,server_18,20.0,99.2,130.55,121.17,126.28
20:53:40,server_11,33.02,35.96,271.61,401.61,125.67
20:53:40,server_16,64.46,40.6,2596.92,2920.04,692.06
20:53:40,server_20,30.01,40.66,115.27,147.96,8331.97
20:53:40,server_10,50.99,44.78,14040.01,14546.64,69.96
20:53:40,server_8,49.26,26.78,146.02,141.11,3632.42
20:53:40,server_1,30.42,50.73,266.45,258.0,135.98
20:53:40,server_2,45.27,55.68,506.92,687.27,72.44
20:53:40,server_3,62.23,63.14,678.2,590.59,40.88
20:53:40,server_9,31.77,26.97,379.85,270.35,41.24
20:53:40,server_5,3.82,80.64,40.83,46.24,90.17
20:53:40,server_6,25.95,34.21,165.39,229.96,2.67
20:53:40,server_7,62.37,74.52,694.37,695.3,0.0
20:53:40,server_4,36.86,34.69,478.74,278.92,47.2
20:53:45,server_13,25.12,32.9,49.05,52.52,7293.15
20:53:45,server_20,28.99,48.99,290.8,321.62,0.0
20:53:45,server_19,91.02,91.79,878.04,1128.95,66.81
20:53:45,server_18,52.92,39.86,11436.39,13190.93,73.31
20:53:45,server_17,63.02,52.18,1061.8,1260.04,516.4
20:53:45,server_16,49.58,42.3,165.17,176.45,9487.16
20:53:45,server_15,58.17,40.45,4942.87,4844.35,1251.06
20:53:45,server_14,67.48,66.07,702.81,656.62,0.0
20:53:45,server_12,62.98,76.0,529.87,492.15,153.5
20:53:45,server_11,29.74,32.26,2.56,2.25,9169.0
20:53:45,server_1,59.35,33.1,8981.16,7186.84,101.28
20:53:45,server_9,65.52,64.98,663.36,496.64,65.81
20:53:45,server_8,85.73,0.89,900.39,869.33,120.07
20:53:45,server_7,20.5,17.2,120.33,155.62,72.45
20:53:45,server_6,89.8,95.11,848.7,814.71,179.75
20:53:45,server_5,89.35,96.22,916.84,699.43,109.89
20:53:45,server_4,33.68,50.31,293.08,360.23,22.2
20:53:45,server_3,36.1,35.13,381.83,334.91,58.04
20:53:45,server_2,99.85,18.32,1013.94,619.81,0.0
20:53:45,server_10,22.35,20.96,185.88,96.43,8869.09
20:53:50,server_13,20.41,10.9,227.48,232.81,9.53
20:53:50,server_14,64.04,81.61,594.92,794.47,32.46
20:53:50,server_15,39.93,54.68,403.05,268.46,84.93
20:53:50,server_16,49.86,52.75,454.37,499.92,10.9
20:53:50,server_12,67.68,86.2,708.43,962.86,76.58
20:53:50,server_18,2.6,94.58,0.0,0.0,126.59
20:53:50,server_19,13.97,95.18,168.2,185.82,91.81
20:53:50,server_20,22.0,27.09,212.36,133.38,51.54
20:53:50,server_17,52.37,31.68,6025.71,5088.84,99.59
20:53:50,server_11,39.98,27.98,194.14,284.38,6742.96
20:53:50,server_1,43.09,24.3,72.38,73.15,3239.4
20:53:50,server_9,62.49,31.54,14702.76,14209.61,188.84
20:53:50,server_8,25.14,47.5,303.94,439.45,35.13
20:53:50,server_7,82.1,2.81,856.79,616.32,61.34
20:53:50,server_6,15.09,85.68,141.27,81.92,31.73
20:53:50,server_5,43.1,60.79,444.25,587.54,98.34
20:53:50,server_4,44.56,58.53,1190.51,1203.21,1436.99
20:53:50,server_3,54.64,32.1,11648.04,10516.34,96.87
20:53:50,server_2,90.18,3.12,908.83,1216.31,0.0
20:53:50,server_10,38.5,41.27,63.79,43.61,5488.12
20:53:55,server_13,48.25,51.3,503.33,705.25,0.0
20:53:55,server_14,22.52,40.08,254.07,204.91,41.47
20:53:55,server_15,51.26,34.34,18416.49,20352.41,99.98
20:53:55,server_16,28.64,44.69,309.3,213.4,0.0
20:53:55,server_20,65.95,70.94,646.88,750.04,98.52
20:53:55,server_18,55.3,52.79,2068.84,2349.37,1205.48
20:53:55,server_19,56.36,48.89,3813.6,4384.41,1652.21
20:53:55,server_12,18.86,97.67,149.85,185.58,102.33
20:53:55,server_17,61.62,71.77,640.73,584.06,72.16
20:53:55,server_11,44.44,56.99,423.62,216.97,66.89
20:53:55,server_5,75.72,31.74,7847.92,6516.38,52.54
20:53:55,server_9,41.84,35.31,445.98,511.82,112.07
20:53:55,server_2,65.72,40.23,2772.34,2870.61,516.42
20:53:55,server_3,12.59,94.43,116.93,152.5,31.3
20:53:55,server_4,58.86,72.26,532.04,424.77,25.63
20:53:55,server_1,41.9,42.98,402.69,557.48,5.85
20:53:55,server_6,67.41,67.64,760.5,563.54,75.47
20:53:55,server_7,55.6,72.63,644.33,378.2,0.0
20:53:55,server_8,67.76,43.64,9877.29,9743.78,18.99
20:53:55,server_10,30.36,39.26,330.23,304.27,24.03
20:54:00,server_12,66.86,51.5,1369.95,1133.95,803.91
20:54:00,server_19,88.87,19.77,901.54,778.56,0.0
20:54:00,server_18,39.7,59.15,417.87,618.32,53.33
20:54:00,server_17,57.31,31.71,6273.5,5928.74,79.69
20:54:00,server_16,77.97,36.08,8899.11,8147.46,35.53
20:54:00,server_15,56.84,65.74,610.15,353.19,15.85
20:54:00,server_14,14.5,98.36,77.18,58.9,32.92
20:54:00,server_13,43.84,42.32,457.71,573.33,89.73
20:54:00,server_11,55.45,53.66,552.17,351.75,25.48
20:54:00,server_20,58.63,43.53,631.04,317.74,97.42
20:54:00,server_9,22.32,93.64,206.68,150.6,185.03
20:54:00,server_1,57.75,61.54,558.08,605.5,78.44
20:54:00,server_2,55.88,49.65,3058.42,2865.42,1789.32
20:54:00,server_3,39.26,40.56,398.53,428.53,30.84
20:54:00,server_4,46.75,58.73,471.77,395.18,10.94
20:54:00,server_10,92.41,22.61,866.19,996.02,187.53
20:54:00,server_6,56.12,49.3,4026.29,4146.71,1317.32
20:54:00,server_7,39.15,38.7,449.19,398.62,17.17
20:54:00,server_8,45.26,56.6,509.84,370.03,81.32
20:54:00,server_5,93.91,15.55,928.02,533.2,68.37
20:54:05,server_11,69.37,43.25,4506.63,4619.69,1452.39
20:54:05,server_19,47.63,20.17,168.37,123.05,7312.94
20:54:05,server_18,65.77,35.2,6842.23,6003.23,159.7
20:54:05,server_17,64.52,50.66,618.32,892.93,64.1
20:54:05,server_16,36.65,27.76,415.27,590.62,77.42
20:54:05,server_15,96.61,83.55,1060.23,735.97,165.58
20:54:05,server_14,95.25,25.82,925.2,944.35,46.92
20:54:05,server_13,82.82,4.68,765.66,618.03,61.24
20:54:05,server_12,97.17,86.45,931.35,896.64,145.49
20:54:05,server_20,61.29,56.02,660.39,521.37,36.12
20:54:05,server_10,33.16,43.22,329.26,239.82,17.78
20:54:05,server_8,99.5,94.76,957.62,1297.49,191.93
20:54:05,server_7,94.31,89.26,939.71,557.72,38.05
20:54:05,server_6,41.59,39.5,483.63,299.47,29.07
20:54:05,server_5,68.94,97.62,619.22,537.16,116.5
20:54:05,server_4,29.95,26.18,161.01,236.97,7137.19
20:54:05,server_3,52.16,47.76,7507.49,6650.36,23.0
20:54:05,server_2,66.58,66.05,693.27,395.91,70.36
20:54:05,server_1,48.33,64.77,3932.2,4613.1,844.05
20:54:05,server_9,56.82,50.4,1291.54,1370.85,1844.13
20:54:10,server_14,28.17,15.79,334.57,413.14,25.83
20:54:10,server_15,90.45,99.62,940.24,1264.28,91.27
20:54:10,server_16,36.45,44.49,449.32,373.26,50.34
20:54:10,server_13,81.91,8.62,835.75,665.49,124.95
20:54:10,server_18,42.86,31.62,12.15,15.22,3340.83
20:54:10,server_19,94.38,97.11,917.27,766.25,96.48
20:54:10,server_20,89.7,96.33,911.98,703.22,97.91
20:54:10,server_17,47.44,48.26,146.37,81.64,4635.86
20:54:10,server_12,40.88,38.99,443.66,521.16,0.0
20:54:10,server_11,93.11,93.91,885.48,708.3,58.85
20:54:10,server_1,48.77,50.06,471.26,686.51,67.96
20:54:10,server_9,34.4,26.16,72.04,107.03,5496.91
20:54:10,server_8,38.66,47.04,93.8,66.18,4273.12
20:54:10,server_7,36.97,31.29,27.5,18.23,6374.44
20:54:10,server_6,37.54,39.05,400.13,511.13,96.28
20:54:10,server_5,84.01,13.64,819.96,745.86,79.5
20:54:10,server_4,99.83,4.04,928.52,490.61,49.27
20:54:10,server_3,26.4,37.33,50.34,53.19,3764.84
20:54:10,server_2,21.17,82.96,199.08,206.96,0.0
20:54:10,server_10,62.05,66.97,558.23,666.31,90.13
20:54:15,server_13,63.93,74.38,645.62,863.68,106.3
20:54:15,server_14,44.74,67.83,3555.02,3946.02,1117.55
20:54:15,server_15,7.29,91.48,58.19,55.85,15.91
20:54:15,server_20,16.52,98.26,64.12,75.65,55.12
20:54:15,server_18,48.1,55.14,395.73,358.5,0.0
20:54:15,server_19,22.44,46.27,96.76,55.01,9554.81
20:54:15,server_12,30.72,29.47,140.83,209.38,4586.84
20:54:15,server_16,44.7,26.07,154.65,174.83,5129.1
20:54:15,server_11,59.51,40.53,2794.53,2831.41,825.62
20:54:15,server_17,38.9,49.34,401.14,430.62,3.39
20:54:15,server_9,40.75,60.84,3842.99,3892.44,1825.9
20:54:15,server_10,26.13,32.07,246.88,234.62,8.58
20:54:15,server_2,61.67,64.17,2946.77,2987.35,1860.11
20:54:15,server_3,25.23,39.9,267.75,139.98,70.55
20:54:15,server_4,39.24,47.91,400.96,440.41,32.16
20:54:15,server_1,37.3,36.15,83.89,70.27,4801.72
20:54:15,server_6,97.82,0.48,1003.18,642.65,136.87
20:54:15,server_7,29.83,25.22,183.23,159.73,0.0
20:54:15,server_8,95.66,86.22,1014.58,1211.09,52.52
20:54:15,server_5,20.09,36.41,55.26,63.06,9804.69
20:54:20,server_20,88.86,84.24,814.23,1068.09,33.0
20:54:20,server_12,55.02,45.41,517.15,389.55,94.4
20:54:20,server_19,51.0,58.41,4778.28,5551.35,1507.33
20:54:20,server_18,20.26,29.82,238.87,318.52,15.69
20:54:20,server_17,58.01,69.52,545.39,599.85,21.46
20:54:20,server_16,47.14,48.8,554.39,466.66,3.18
20:54:20,server_15,43.2,20.75,418.4,525.71,0.0
20:54:20,server_14,62.99,61.24,663.01,479.96,125.87
20:54:20,server_13,91.46,93.99,957.66,1127.53,187.73
20:54:20,server_11,61.97,43.17,19982.69,17857.05,125.53
20:54:20,server_7,17.76,84.32,144.73,113.47,71.52
20:54:20,server_9,92.8,93.35,969.61,861.89,48.41
20:54:20,server_8,92.33,12.24,923.8,842.37,0.0
20:54:20,server_6,98.64,91.73,944.09,974.02,50.5
20:54:20,server_5,24.78,34.53,272.54,381.86,0.0
20:54:20,server_4,58.58,55.08,15839.91,17946.23,190.22
20:54:20,server_3,59.01,55.67,10732.83,11225.56,164.47
20:54:20,server_2,34.53,41.86,240.6,347.99,36.72
20:54:20,server_1,58.14,70.88,538.34,555.36,95.04
20:54:20,server_10,60.74,56.33,599.11,800.95,29.96
20:54:25,server_15,34.59,33.62,84.73,125.82,4370.69
20:54:25,server_13,43.14,59.21,1781.65,2005.55,589.9
20:54:25,server_14,47.78,51.81,3773.36,3824.85,1955.41
20:54:25,server_16,96.42,17.26,1054.38,537.56,92.07
20:54:25,server_12,5.9,90.86,2.03,2.61,6.75
20:54:25,server_18,23.06,30.29,214.72,297.94,15.52
20:54:25,server_19,32.44,24.23,300.33,346.98,64.35
20:54:25,server_20,44.44,60.87,3834.95,3951.72,727.37
20:54:25,server_17,55.73,53.86,13825.53,16092.37,131.54
20:54:25,server_11,24.52,14.22,344.44,432.66,0.0
20:54:25,server_1,29.28,94.24,361.13,213.53,3.0
20:54:25,server_9,22.98,88.81,284.63,379.42,43.86
20:54:25,server_2,32.08,58.99,270.78,141.22,88.12
20:54:25,server_3,73.71,41.67,9808.89,9603.71,133.25
20:54:25,server_4,34.98,32.66,161.57,94.25,5239.59
20:54:25,server_10,41.74,43.87,399.3,406.1,56.26
20:54:25,server_6,86.85,18.18,872.74,1305.08,0.0
20:54:25,server_7,57.72,73.81,533.07,740.25,24.12
20:54:25,server_8,55.47,51.45,9019.41,9310.32,91.63
20:54:25,server_5,40.45,52.08,382.68,322.37,76.34
20:54:30,server_13,84.08,3.83,807.99,967.59,60.12
20:54:30,server_20,55.56,47.35,615.59,692.42,114.31
20:54:30,server_19,39.04,45.56,422.65,338.89,9.74
20:54:30,server_18,98.4,21.0,912.88,845.97,13.4
20:54:30,server_17,66.53,84.9,644.07,580.4,110.06
20:54:30,server_16,28.71,39.55,305.29,302.51,41.22
20:54:30,server_15,21.36,12.37,204.76,130.53,17.82
20:54:30,server_14,48.78,66.97,521.55,270.71,1.73
20:54:30,server_12,26.88,48.61,54.57,28.41,7480.13
20:54:30,server_11,45.72,58.81,462.49,456.41,58.2
20:54:30,server_1,54.99,61.08,4147.78,3873.88,1941.52
20:54:30,server_9,68.11,71.34,701.38,863.19,113.01
20:54:30,server_8,86.78,8.45,847.17,560.61,0.0
20:54:30,server_7,87.51,98.23,835.99,971.62,116.31
20:54:30,server_6,46.69,39.67,31.66,46.91,4382.8
20:54:30,server_5,21.37,93.85,238.27,166.1,27.47
20:54:30,server_4,86.92,29.32,896.68,1294.8,22.99
20:54:30,server_3,58.21,69.87,511.96,731.31,70.99
20:54:30,server_2,90.36,26.59,854.17,850.12,67.84
20:54:30,server_10,33.62,41.03,371.74,436.48,98.33
20:54:35,server_13,65.06,41.94,5448.32,5975.87,198.13
20:54:35,server_14,30.72,28.04,405.27,485.58,0.0
20:54:35,server_15,91.17,84.48,897.6,963.91,96.75
20:54:35,server_16,46.75,39.84,395.79,473.52,2.9
20:54:35,server_12,17.81,91.92,271.82,269.92,60.6
20:54:35,server_18,26.77,45.08,194.35,249.66,83.5
20:54:35,server_19,59.32,43.62,4637.39,5272.32,1593.23
20:54:35,server_20,67.95,78.92,681.36,913.24,122.0
20:54:35,server_17,15.1,85.91,153.13,201.09,0.0
20:54:35,server_11,24.75,84.53,233.11,147.03,38.67
20:54:35,server_1,98.22,0.65,1022.9,828.03,76.17
20:54:35,server_9,37.31,28.07,191.85,126.38,9079.96
20:54:35,server_8,97.77,27.31,978.05,1374.15,126.25
20:54:35,server_7,74.17,53.77,7929.64,8895.49,109.31
20:54:35,server_6,85.53,24.18,824.0,666.0,3.63
20:54:35,server_5,31.53,23.33,312.68,349.98,96.76
20:54:35,server_4,83.13,28.63,809.03,934.43,36.89
20:54:35,server_3,10.34,97.89,191.0,185.55,0.0
20:54:35,server_2,56.95,53.15,564.9,564.0,84.23
20:54:35,server_10,42.84,45.0,3719.81,4225.73,631.55
20:54:40,server_13,23.33,84.31,275.39,162.72,16.06
20:54:40,server_14,91.73,98.13,859.14,932.99,128.36
20:54:40,server_15,21.6,95.32,298.36,152.87,0.0
20:54:40,server_16,92.97,92.88,1019.88,1268.67,33.45
20:54:40,server_20,93.8,17.69,865.84,545.62,55.74
20:54:40,server_18,65.01,67.61,1215.65,1375.54,608.89
20:54:40,server_19,41.04,45.6,3196.67,2927.33,1367.07
20:54:40,server_12,26.6,38.45,212.63,276.76,0.0
20:54:40,server_17,24.98,45.43,103.27,108.96,5342.33
20:54:40,server_11,27.77,16.5,348.1,442.57,14.6
20:54:40,server_1,35.57,20.44,44.37,42.58,9046.45
20:54:40,server_9,94.46,87.55,940.01,990.84,58.79
20:54:40,server_2,75.47,57.53,14482.85,11951.16,82.32
20:54:40,server_3,28.04,30.06,280.48,396.47,51.25
20:54:40,server_4,65.93,55.33,5862.89,5682.66,94.9
20:54:40,server_10,51.41,57.15,467.56,596.42,73.4
20:54:40,server_6,28.91,21.71,226.38,286.37,61.2
20:54:40,server_7,40.75,25.36,112.25,75.28,3374.04
20:54:40,server_8,2.91,97.67,69.26,95.4,109.98
20:54:40,server_5,57.18,71.23,643.03,525.34,9.79
20:54:45,server_12,70.18,42.93,13062.01,15008.32,59.04
20:54:45,server_19,62.29,36.28,18409.42,17664.86,64.61
20:54:45,server_18,86.31,0.31,918.75,1318.19,56.69
20:54:45,server_17,27.82,19.59,333.57,336.93,51.34
20:54:45,server_16,89.07,98.1,923.15,621.63,229.03
20:54:45,server_15,64.92,41.4,4286.55,4003.12,519.22
20:54:45,server_14,63.77,74.59,653.94,382.56,77.01
20:54:45,server_13,98.35,28.13,913.63,487.43,89.28
20:54:45,server_20,77.03,52.54,8723.96,9865.06,95.19
20:54:45,server_11,65.51,65.31,642.65,379.87,150.46
20:54:45,server_9,18.52,87.98,261.74,332.39,6.1
20:54:45,server_8,91.09,22.89,957.42,1067.55,19.28
20:54:45,server_7,30.74,40.41,276.24,335.44,10.98
20:54:45,server_6,36.26,52.09,353.16,183.26,0.0
20:54:45,server_5,10.9,91.97,28.02,26.48,116.3
20:54:45,server_4,2.27,87.08,0.0,0.0,0.0
20:54:45,server_3,93.41,21.25,888.96,1048.84,20.95
20:54:45,server_2,45.93,28.42,79.31,84.5,9155.45
20:54:45,server_1,42.27,47.52,4623.26,5054.96,1392.07
20:54:45,server_10,41.8,63.35,1634.43,1573.57,890.7
20:54:50,server_13,68.09,80.74,590.95,671.42,135.74
20:54:50,server_14,27.94,24.59,27.78,21.72,6301.08
20:54:50,server_15,45.92,66.61,3354.39,3872.37,556.42
20:54:50,server_16,28.76,41.31,147.24,74.79,8898.97
20:54:50,server_12,13.79,85.67,180.91,270.52,99.27
20:54:50,server_18,43.13,46.21,69.82,39.67,8494.25
20:54:50,server_19,89.2,23.48,962.19,682.26,160.8
20:54:50,server_20,58.0,55.61,3216.21,3768.63,1285.68
20:54:50,server_17,88.17,7.26,895.63,1291.95,62.9
20:54:50,server_11,99.58,98.58,975.21,1198.2,107.93
20:54:50,server_5,43.72,34.06,420.47,225.59,100.78
20:54:50,server_9,41.95,53.27,372.47,503.13,9.81
20:54:50,server_1,42.88,47.93,469.68,307.8,95.47
20:54:50,server_2,80.75,13.55,872.6,505.34,0.14
